"title";"media_id";"answer_1";"answer_2";"answer_3";"answer_4";"right_answer";"subcategory_id"
"Какое растение, по народным преданиям, цветет лишь одну ночь в году?
";0;"Папоротник
";"Одолей-трава
";"Иван-да-марья";"Раcцвет-трава

";1;1
"Какое растение, по народным преданиям, цветет лишь одну ночь в году?
";0;"Папоротник
";"Одолей-трава
";"Иван-да-марья";"Раcцвет-трава

";1;1
"«Хозяин», «деньга», «боярин», «богатырь», «казак», «лошадь», «кирпич», «кафтан». Какие из этих слов русского происхождения?
";0;"Никакое, они все тюркские";"Боярин";"Кафтан";"Богатырь";1;1
"Какой цвет доминирует в мезенской росписи?";0;"Красный
";"Голубой
";"Зеленый
";"Фиолетовый";1;1
"Какую науку на Руси называли «любомудрие»?";0;"Философия";"Естествознание";"Политика";"Литература";1;20
"Во многих русских сказках употребляется выражение «по городам и весям», например, и прокатилась молва по городам и весям. Что означает слово «весь»?";0;"Селение";"Страна";"Лес";"Мир";1;1
"Толмач или басмач был на Руси переводчиком во время беседы и переговоров?";0;"Толмач";"Босмач";"Оба ответа верны";"Оба ответа неверны";1;1
"Как прежде на Руси называли письменную жалобу или письменный донос?";0;"Ябеда";"Поклеп";"Кляуза";"Извет";1;1
"Как мы называем ту часть тела, которую раньше называли «выя»?";0;"шея";"грудь";"подбородок";"локоть";1;1
"Самовар «банкой» похож на цилиндр, самовар «рюмкой» – тоже на цилиндр, но суженный внизу. А самовар «дулей» напоминает плод. Какой?";0;"груша";"яблоко";"баклажан";"все ответы неверны";1;1
"Каким именем-отчеством  народ раньше величал самовар?";0;"Иван Иваныч";"Матвей Никитич";"Михаил Иванович";"Михаил Михайлович";1;1
" В старину на Руси женщины носили кокошник – корону замужней женщины, название которого произошло от слова «кокошь». Прислушавшись к звучанию этого слова, догадайтесь, что оно означало?";0;"Курица";"Кукушка";"Королевна";"Кормушка";1;1
"«Вечор» – это вчера или сегодня?";0;"Вчера вечером";"Вчера днем";"Сегодня вечером";"Вчера утром";1;1
"Какая часть тела называется так же, как раньше на Руси большой кусок сахара?";0;"голова";"локоть";"ладонь";"кулак";1;1
"По какую сторону от вас стоит человек, если он стоит одесную?";0;"справа";"слева";"впереди";"сзади";1;1
" Качество дорог на Руси стало притчей во языцех. Поэтому радушный хозяин не мог ничего лучшего пожелать отъезжающим гостям, чем... Что?";0;"Скатертью дорога";"Счастливого пути";"Гладкой дорожки";"Попутного ветра";1;1
"Сколько вёдер составляли, согласно старинной русской системе мер, бочку?";0;"40";"30";"20";"10";1;1
"Главной приметой «Маланьиной свадьбы» на Руси является?";0;"море еды";"куча гостей";"бочки вина и пива";"роскошь прзненства";1;1
